Time	Date	RAName	Participant#	Experiment#	Age	Height	Gender	Hand	Order	Condition	Other	TimeofClick	Correct/Incorrect	ObjectSelected
4:36:06	10/18/2018	Kathryn	2_take2	1_pilot	18	65	Female	R	10	Turn		74.28713	Incorrect	Plates_bowls
4:36:06	10/18/2018	Kathryn	2_take2	1_pilot	18	65	Female	R	10	Turn		74.28713	Incorrect	Plates_bowls
4:39:01	10/18/2018	Kathryn	2_take2	1_pilot	18	65	Female	R	10	Turn		249.0029	Incorrect	Rug_collider
4:39:01	10/18/2018	Kathryn	2_take2	1_pilot	18	65	Female	R	10	Turn		249.0029	Incorrect	Rug_collider
4:39:07	10/18/2018	Kathryn	2_take2	1_pilot	18	65	Female	R	10	Turn		255.08	Incorrect	Mantle_Clock
4:39:07	10/18/2018	Kathryn	2_take2	1_pilot	18	65	Female	R	10	Turn		255.08	Incorrect	Mantle_Clock
4:39:30	10/18/2018	Kathryn	2_take2	1_pilot	18	65	Female	R	10	Turn		278.1327	Correct	Oval_Rug
4:39:30	10/18/2018	Kathryn	2_take2	1_pilot	18	65	Female	R	10	Turn		278.1327	Incorrect	Oval_Rug
4:42:27	10/18/2018	Kathryn	2_take2	1_pilot	18	65	Female	R	10	Turn		454.6033	Incorrect	Toy_Blocks
4:42:27	10/18/2018	Kathryn	2_take2	1_pilot	18	65	Female	R	10	Turn		454.6033	Incorrect	Toy_Blocks
4:43:17	10/18/2018	Kathryn	2_take2	1_pilot	18	65	Female	R	10	Turn		505.0131	Incorrect	Book_Stack
4:43:17	10/18/2018	Kathryn	2_take2	1_pilot	18	65	Female	R	10	Turn		505.0131	Incorrect	Book_Stack
4:43:47	10/18/2018	Kathryn	2_take2	1_pilot	18	65	Female	R	10	Turn		535.2029	Correct	Lamp_ON_Left
4:43:47	10/18/2018	Kathryn	2_take2	1_pilot	18	65	Female	R	10	Turn		535.2029	Incorrect	Lamp_ON_Left
4:44:34	10/18/2018	Kathryn	2_take2	1_pilot	18	65	Female	R	10	Turn		581.8033	Correct	Couch_Pillow
4:44:34	10/18/2018	Kathryn	2_take2	1_pilot	18	65	Female	R	10	Turn		581.8033	Incorrect	Couch_Pillow
4:45:11	10/18/2018	Kathryn	2_take2	1_pilot	18	65	Female	R	10	Turn		619.2448	Correct	Pineapples
4:45:11	10/18/2018	Kathryn	2_take2	1_pilot	18	65	Female	R	10	Turn		619.2448	Incorrect	Pineapples
4:49:11	10/18/2018	Kathryn	2_take2	1_pilot	18	65	Female	R	10	Turn		859.3131	Correct	NC_Button_Frame
4:49:11	10/18/2018	Kathryn	2_take2	1_pilot	18	65	Female	R	10	Turn		859.3131	Correct	NC_Button_Frame
4:50:21	10/18/2018	Kathryn	2_take2	1_pilot	18	65	Female	R	10	Turn		929.0222	Correct	Toy_Blocks
4:50:21	10/18/2018	Kathryn	2_take2	1_pilot	18	65	Female	R	10	Turn		929.0222	Incorrect	Toy_Blocks
4:54:40	10/18/2018	Kathryn	2_take2	1_pilot	18	65	Female	R	10	Turn		1188.215	Correct	Mantle_Clock
4:54:40	10/18/2018	Kathryn	2_take2	1_pilot	18	65	Female	R	10	Turn		1188.215	Incorrect	Mantle_Clock
4:56:36	10/18/2018	Kathryn	2_take2	1_pilot	18	65	Female	R	10	Turn		1303.964	Incorrect	Oval_Rug
